# x	y	u	v	flags	mask
5.7300e+02	3.5500e+02	1.0731e+01	7.0418e+01	0.0000e+00	0.0000e+00
5.9400e+02	3.5500e+02	6.3931e+01	7.1704e+01	0.0000e+00	0.0000e+00
6.1500e+02	3.5500e+02	-8.5880e+01	7.0722e+01	0.0000e+00	0.0000e+00
6.3600e+02	3.5500e+02	-2.7372e+01	2.6054e+01	0.0000e+00	0.0000e+00
6.5700e+02	3.5500e+02	-8.6231e+01	7.0781e+01	0.0000e+00	0.0000e+00
6.7800e+02	3.5500e+02	7.3486e+01	7.0445e+01	0.0000e+00	0.0000e+00
6.9900e+02	3.5500e+02	-4.7945e+01	7.3658e+01	0.0000e+00	0.0000e+00
7.2000e+02	3.5500e+02	7.3239e+01	6.6856e+01	0.0000e+00	0.0000e+00
7.4100e+02	3.5500e+02	-3.9183e+00	6.9900e+01	0.0000e+00	0.0000e+00
7.6200e+02	3.5500e+02	-2.6498e+01	6.9109e+01	0.0000e+00	0.0000e+00
7.8300e+02	3.5500e+02	7.3284e+01	7.2408e+01	0.0000e+00	0.0000e+00
8.0400e+02	3.5500e+02	-8.9637e+00	7.8269e+01	0.0000e+00	0.0000e+00
8.2500e+02	3.5500e+02	1.2808e+02	7.9312e+01	0.0000e+00	0.0000e+00
2.7000e+01	3.3400e+02	3.9761e+00	-7.1620e+01	0.0000e+00	0.0000e+00
4.8000e+01	3.3400e+02	6.4447e+01	7.7058e+01	0.0000e+00	0.0000e+00
6.9000e+01	3.3400e+02	2.5272e+00	7.4527e+01	0.0000e+00	0.0000e+00
9.0000e+01	3.3400e+02	-7.0017e+01	7.2670e+01	0.0000e+00	0.0000e+00
1.1100e+02	3.3400e+02	6.3213e+01	-7.3827e+01	0.0000e+00	0.0000e+00
1.3200e+02	3.3400e+02	-7.5932e+01	-7.3116e+01	0.0000e+00	0.0000e+00
1.5300e+02	3.3400e+02	-3.2070e+00	-6.8702e+01	0.0000e+00	0.0000e+00
1.7400e+02	3.3400e+02	7.4242e+01	-6.7855e+01	0.0000e+00	0.0000e+00
1.9500e+02	3.3400e+02	6.9469e+01	-6.8086e+01	0.0000e+00	0.0000e+00
2.1600e+02	3.3400e+02	2.2229e+01	6.9097e+00	0.0000e+00	0.0000e+00
2.3700e+02	3.3400e+02	7.9090e+01	-6.4236e+01	0.0000e+00	0.0000e+00
2.5800e+02	3.3400e+02	1.1021e+02	-6.3535e+01	0.0000e+00	0.0000e+00
2.7900e+02	3.3400e+02	-5.4448e+01	-6.4612e+01	0.0000e+00	0.0000e+00
3.0000e+02	3.3400e+02	-6.8526e+01	-1.1799e+01	0.0000e+00	0.0000e+00
3.2100e+02	3.3400e+02	2.9282e+01	-8.9569e-01	0.0000e+00	0.0000e+00
3.4200e+02	3.3400e+02	0.0000e+00	5.8131e+00	0.0000e+00	0.0000e+00
3.6300e+02	3.3400e+02	-7.4497e+01	3.8774e+01	0.0000e+00	0.0000e+00
3.8400e+02	3.3400e+02	6.2698e+01	-7.8644e+01	0.0000e+00	0.0000e+00
4.0500e+02	3.3400e+02	-5.3321e+01	-7.3299e+01	0.0000e+00	0.0000e+00
4.2600e+02	3.3400e+02	-4.3545e+00	-8.4697e+01	0.0000e+00	0.0000e+00
4.4700e+02	3.3400e+02	7.6151e+00	-7.0701e+01	0.0000e+00	0.0000e+00
4.6800e+02	3.3400e+02	-1.9250e+02	-7.0697e+01	0.0000e+00	0.0000e+00
